Tagline,Rate,Rating,Level,Number_of_jobs,Category,Skills
Java,$25,0,1,0,IT & Programming,"Java, Laptop Repairing, Desktop Repairing"
"website design , Telemarketing , Sales pitch",$22,0,1,0,Sales & Marketing,"Telemarketing, Web Designing, Customer rentention, WordPress programming, Sales Pitch, Accent and voice modulation traning"
,$3,0,1,0,Finance & Management,"Microsoft Excel, typing, data entry"
,$11,0,1,0,Admin Support,"AutoCAD 2012, Microsoft Excel, Microsoft Word, Computer Skills, civil engineer"
"Expert in 3D Modelling, Texturing and Lighting",$15,0,2,0,Design & Multimedia,"Lighting, 3D Modeling, Digital Painting, Maya, Adobe Photoshop, Architectural Lighting, Character Modelling, Shading, Texturing, Sketching"
writer,$5,0,1,0,Writing & Translation,"Online Writing, English, Creative Writing"
,$5,0,1,0,IT & Programming,"C++, data entry"
,$3,48,2,0,Writing & Translation,"android, blogging, html, developing websites, content writing, Adobe Photoshop, Google AdSense"
Rebember me for Graphic Designing & Accounting job,,0,1,0,Finance & Management,"Accounting, Graphic Designing"
seo expert of kathmandu and nepal,$55,0,1,0,IT & Programming,seo expert since 2 year
I'm a specialist in web designing and development.,$7,36,2,0,IT & Programming,"PHP5, Adobe Photoshop, HTML5, Search Engine Optimization (SEO), WordPress, Content Writing, iPhone App Development, Android, Adobe Illustrator, Microsoft Excel"
,$16,0,1,0,Admin Support,"Market Research, Administrative Support, Clerical Skills, Computer Skills, Customer Service, Data Entry, Email, Google Docs, Internet Research, Microsoft Office"
iOS App Developer,$18,0,1,0,IT & Programming,"Objective-C, Child Counseling, Java"
"Data Entry,Typing , English and Nepali Translator",$5,0,2,0,Writing & Translation,"Mathematics, Internet Research, Sustainable Energy, Electrical Engineering, Elance, Translate English to Nepali and Vice versa, Time Management, Travel Planning, English"
,,0,1,0,Writing & Translation,"AP Style Writing, Academic Writing, Article Rewriting, Article Writing, Book Writing, Communications, Cover Letter Writing, Editing, English, Essay Writing"
Web Designer and Developer (6 years exp.),$5,48,1,0,IT & Programming,"Web Design, Blog Design, Logo Design, HTML, CSS, Bootstrap, wordpress, PSD to HTML, Search Engine Optimization (SEO)"
"'Web Designer', 'Responsive Website Designer',",,0,1,0,IT & Programming,"Adobe Photoshop, HTML5, Adobe Illustrator, Adobe Dreamweaver, CSS, jQuery, HTML"
,,0,1,0,Writing & Translation,"Content Writing, Online Writing, Creative Writing, English"
me working,$5,60,1,0,Design & Multimedia,"Adobe illustrator, Adobe photoshop cs6, Html, css, game Design"
,$33,0,1,0,Engineering & Manufacturing,"Bachelor's in Civil Engineering, AutoCAD2014, STAAD PRO V8i"
sachin neupane,$3,0,1,0,Writing & Translation,"Typing, Translation Hindi English, Article Writing"
,$11,0,2,0,IT & Programming,"Android, Java, MySQL Administration, C"
Specialized in Web Service,,0,1,0,IT & Programming,
expert visual fx,$11,60,1,0,Design & Multimedia,"Adobe Photoshop, Adobe Illustrator, Adobe After Effects, Adobe Premiere, Nuke, 3ds Max, mocha, lighting in maya"
,$5,0,1,0,IT & Programming,"php, magento"
French expat WP expert/  CSS / Designer,$16,55,3,0,Design & Multimedia,"WordPress, Adobe Photoshop, CSS, osCommerce, HTML, Adobe Flash, Translation French English, French, Adobe Premiere"
i am a very good autocad users.,$7,0,2,0,Admin Support,"AutoCAD, Microsoft Excel, Microsoft Office, Civil Engineering"
Web Designer/Developer,$9,0,1,0,IT & Programming,"XHTML, CSS, WordPress, WebDesign"
,,0,1,0,Finance & Management,"Android, Accounting, Accounts Payable Management, Accounts Receivable Management, Agriculture, Auditing, Bank Reconciliation, Business Development, Driving, Entrepreneurship"
Expert,$5,0,1,0,Admin Support,"Microsoft Excel, Microsoft Word, Computer Skills, Data Entry, Technical Support, Typing, ArcGIS, ArcScene, AutoCAD, Microsoft Project"
,$9,0,1,0,IT & Programming,"ASP.NET, Microsoft Word, Microsoft PowerPoint, Microsoft Excel, C#"
Expert PHP Developer,$11,60,1,0,IT & Programming,"WordPress, PHP5, MySQL Administration, Laravel Framework, jQuery, CSS"
Expert in iOS and Android Development with best UX,$12,60,4,1,IT & Programming,"iPhone App Development, Android, Adobe Photoshop, CSS3, Amazon Web Services, REST, Java, CSS, Linux System Administration, Git"
"LOGO DESIGN,PHP,MYSQL, WORDPRESS,JOOMLA,OPENCART",$5,48,1,0,IT & Programming,"HTML5, WordPress, PHP5, Joomla!, MySQL Administration, CSS, Search Engine Optimization (SEO), Adobe Photoshop, Adobe Dreamweaver, Javascript"
WordPress Specialist/ WooCommerce/ PSD / HTML/ CSS,$11,0,1,0,IT & Programming,"HTML5, CSS, MySQL Administration, PHP5, HTML, jQuery, Ruby on Rails, Adobe Photoshop, WordPress, PSD"
"PSD to Clean HTML and CSS converting, SEO",,0,1,0,IT & Programming,"Adobe Photoshop, Search Engine Optimization (SEO), WordPress, Adobe Illustrator, Adobe InDesign, Blogs, CSS, CSS3, HTML, HTML5"
"SEO Expert, Web Designer, PHP Developer",$22,0,1,0,Design & Multimedia,"WordPress, Search Engine Optimization (SEO), Adobe Photoshop, Microsoft Excel, Adobe Illustrator, Content Writing, CSS, HTML, Joomla, PHP"
'Graphic Designer' 'Photoshop' 'Banner' 'Logo',$6,0,1,0,Design & Multimedia,"Graphic Design, Adobe Photoshop, Adobe Photoshop CS6, Adobe Illustrator, Adobe Illustrator CS6, Logo Design, Banner Ads, Photo Editing, Icon Design"
Complete web solutions with expert teams.,$8,0,1,0,IT & Programming,"HTML5, WordPress, iPhone App Development, CodeIgniter, PSD to XHTML, PSD to Wordpress, PSD to MailChimp, CSS, HTML, XHTML"
Expert,$4,60,2,0,Admin Support,"Microsoft Excel, Microsoft Word, facebook, Facebook Development, Internet Research, Computer skills"
"Expert programmer,Graphic designer.",$4,0,1,0,IT & Programming,"HTML5, CSS, Java, Javascript, Adobe Photoshop, WordPress, PHP, Microsoft Excel, Android App Development, Web Design"
Marketing officer,$16,60,1,0,Sales & Marketing,"Multi Level Marketing (MLM), Market Research, Social Media Marketing, Microsoft Word, Email, Public Relations, Public Speaking"
Expert IT programmer,$5,0,1,0,Finance & Management,"I am good in typing, i am currently involved in cloud factory"
"Typing, Data Entry and Graphic Design",,0,1,0,Admin Support,"Typing, Data Entry, Graphic Design, Internet Research"
,$10,0,1,0,Design & Multimedia,"Microsoft Word, Microsoft Excel, Computer Skills, Microsoft PowerPoint, Microsoft Access Administration, Financial Statements, HTML, Adobe Photoshop, Editing, Data Entry"
,$5,0,1,0,IT & Programming,"WordPress, PHP5, MySQL Administration, HTML, CSS"
"'Expert PHP Developer','Expert in Wordpress'",$5,0,1,0,IT & Programming,"HTML5, CSS3, Javascript, jQuery, JSON, AJAX, PHP5, MySQL Programming, WordPress, CodeIgniter"
,,48,1,0,IT & Programming,"Android App Development, Android"
Expert Front-End Developer,,0,1,0,Design & Multimedia,"Adobe Photoshop, Adobe Illustrator, Adobe Dreamweaver, HTML, HTML5, CSS3, PHP, Adobe Flash, Adobe InDesign, WordPress"
,,0,1,0,IT & Programming,"Android, Java"
,,0,1,0,IT & Programming,"Adobe Photoshop, Java, C, C#, microsoft exel, html5, css, c++"
Web Developer,,0,1,0,IT & Programming,"PHP, PHP5, CSS, jQuery, Javascript, HTML, AJAX, WordPress, codeignitor, Adobe Photoshop"
aku,$22,0,1,0,Admin Support,Typing
WordPress Lead Developer,$22,60,7,7,Design & Multimedia,"PHP5, Laravel Framework, WordPress, WordPress e-Commerce, Wordpress Plugin, PSD to Wordpress, Java, Spring Framework, Apache Struts, Hibernate, Web scraping, ASP.NET, NHibernate, Wicket, MySQL Programming"
Web developer,$11,0,1,0,IT & Programming,"PHP, HTML5, CSS3, jQuery, PhoneGap, MySQL Programming"
,,0,1,0,Writing & Translation,"Adobe Photoshop CS6, Microsoft Excel, Microsoft Word, Maxon cinema 4d R15, After effect cs6, dreamweaver cs6, Autodesk Maya 2014, adobe flash professional cs6"
,,36,1,0,IT & Programming,"C, C++, .NET Framework, C#, Javascript"
Web Developer,$11,48,1,0,IT & Programming,"PHP, C++, Restful services, jQuery, CodeIgniter, Laravel Framework, Backbone.js, REST, ASP.NET, Yii"
,,0,1,0,IT & Programming,"Adobe Photoshop, Javascript, HTML, CSS, Web Design, Digital Electronics, Computer Skills, Microsoft Office, LibreOffice, Embedded Systems"
,$11,0,1,0,IT & Programming,"Android SDK, Big Data, Django, Information Management, LAMP Administration, Machine Learning, Malware, MapReduce, Network Security, Python"
Expert Android and C/C++ developer,,0,1,0,IT & Programming,"PHP, Android, Java, C, C++, HTML5, WordPress"
"Expert ASP.net programmer/designer, Core PHP.",$7,0,1,0,IT & Programming,".NET Compact Framework, .NET Framework, .NET for Web, AJAX, ASP.NET, ASP.NET MVC, C#, HTML5, Magento, OOPS"
ExpertVB Programmer,,0,2,0,IT & Programming,"VB.NET, Visual Basic, ASP.NET"
,,0,1,0,IT & Programming,"BASIC, Blogs, Borland C++ Builder, C, Database, Game Testing, HTML, HTML5, Speech Writing, Translation English Hindi"
,$16,0,1,0,IT & Programming,"C#, C, C++, ASP.NET, Microsoft SQL Server Programming"
Quality matters.,,48,1,0,Admin Support,"Financial Reporting, Financial Analysis, Bookkeeping, Accounts Payable Management, Accounts Receivable Management, Financial Statements, Tax Preparation, QuickBooks, Tax Law, Corporate Law"
Content Writer,$11,0,1,0,Finance & Management,"Academic Writing, Article Writing, Blog Writing, Blogging, Business Writing, English Grammar, English Spelling, Advertising, Marketing, Public Relations"
friendly,,0,1,0,Writing & Translation,
Android Application Developer,,0,1,0,IT & Programming,"Android, XHTML, CSS"
,$11,0,1,0,Admin Support,"Microsoft Word, Microsoft Excel, Computer Skills, offline typing, image solving"
,,0,1,0,IT & Programming,"Microsoft SQL Server, C#, .NET, SQL, Microsoft Dynamics NAV, Cloud Computing, Windows Azure, ASP.NET, IIS, Databases"
UI Developer,$16,0,1,0,IT & Programming,"jQuery, CSS, MySQL Administration, HTML5, Search Engine Optimization (SEO), DNN"
,$11,0,1,0,Admin Support,"Microsoft Excel, Microsoft PowerPoint, Microsoft Word, Content Writing, English, Email, Phone Support, Customer Service, General Office Skills"
We fullfill your all IT requirements,$9,0,1,0,IT & Programming,".NET Framework, Android, MySQL Administration, Networking & Security, Python, Ruby on Rails, Web Programming, iOS Development, Mathematics, Unity"
system/network engineer,$11,60,2,0,IT & Programming,"Active Directory, Apache Administration, Cisco, Firewall, Linux System Administration, Network Administration, Microsoft Windows Server, Microsoft SQL Server Programming, TCP/IP, VOIP Administration"
,$9,0,1,0,Design & Multimedia,"Adobe Photoshop, illustratration"
,,0,1,0,IT & Programming,"PHP, PHP5, Javascript, jQuery, MySQL Administration, AJAX, C++, C, Drupal, WordPress"
,$16,0,1,0,IT & Programming,CCNA
"Graphics Designer, 3d artist, Video Editor",,36,1,0,Design & Multimedia,"Nuke, Adobe Photoshop, maya modeling, maya rendering vray mentalray, maya animation, real flow simulation, after effect, adobe premier, 2D Animation, 3D"
"Web designer and developer, Desktop Programmer",,0,1,0,IT & Programming,"PHP5, HTML5, Android, AJAX, ASP, MySQL, MSSQL, Python, Jquery"
"Seo, social media marketing",$5,0,1,0,IT & Programming,"Adobe Photoshop, Android, help desk, techonology, social, friend, computer, seo"
Certified Software Engineer,$11,0,1,0,IT & Programming,".NET Framework, C#, C++, Java, SQL Programming, Microsoft Visual Studio, Microsoft SQL Server Programming, Microsoft Sharepoint Development, HTML, HTML5"
,$3,36,1,0,Writing & Translation,Microsoft Access Administration
Progessive Web Development for Future Technology,$13,0,2,0,IT & Programming,"PHP, PHP5, MySQL Administration, WordPress"
Online Freelancer,$5,0,1,1,Sales & Marketing,"Customer Information Control System (CICS), Skype Development, Video Streaming, WordPress, Microsoft PowerPoint, English, English Grammar, English Proofreading, Film criticism, Microsoft Word"
"Expert Elasticsearch , Python, Java Programmer",$33,60,5,5,IT & Programming,"C, Python, Elasticsearch, C++, Java, Embedded Systems, Embedded Linux, TCP/IP, Asterisk, Linux System Administration"
data entry,$9,0,1,0,Admin Support,"Data Entry, Data Sheet Writing"
dot net developer,$11,0,1,0,IT & Programming,"ASP.NET, ASP.NET MVC, sql server 2012, VIsual Studio 2012, HTML5, CSS3, Bootstrap, Javascript, jQuery, AJAX"
Experienced & Agile Web Developer,$22,60,5,32,IT & Programming,"WordPress, jQuery, Twitter Bootstrap, HTML5, XHTML, CSS, Responsive, PHP"
,$8,0,1,0,Design & Multimedia,"Microsoft Excel, Adobe Photoshop, Hardware Technician, C programming"
,,60,1,0,Finance & Management,"Financial Forecasting, Accounting, Financial Analysis, Financial Statements, Financial Reporting"
"M/s Word, Excel, Powerpoint, Data Entry,Typing",$3,48,1,0,IT & Programming,"Adobe Photoshop, Data Entry, Microsoft Office, Typing, Microsoft Excel"
"HTML5, CSS, Javascript, Ajax, PHP( MVC), WordPress",$11,36,1,0,IT & Programming,"HTML5, CSS3, PHP, JavaScript, jQuery, CI, WordPress"
A Web Developer,$15,0,2,0,IT & Programming,"PHP, MySQL Administration, PHP5"
Writer,$9,0,1,0,Writing & Translation,"Microsoft Excel, Content Writing, Technical Writing, Resume Writing, Article Writing, Blog Writing, Blogging, Editing, Editorial Writing, English Grammar"
"writer, blogger, transcriber, typist",$8,0,1,0,Writing & Translation,"Online Writing, English, English Grammar, Microsoft Excel, Microsoft PowerPoint, Microsoft Word, WordPress, data entry, transcription, article writing"
,$3,36,1,0,Writing & Translation,"C, C++, WordPerfect, eBooks, ebook Writing"
,$5,0,1,0,Writing & Translation,"Academic Writing, Article Rewriting, Blog Writing, Accounting, Agriculture, Business Management, Economics"
,,0,1,0,IT & Programming,"C, CSS, HTML"
,,0,1,0,Design & Multimedia,"i am a fine artist, illustrator, graphics designer...."
,,0,1,0,IT & Programming,"Java, html, css, bootstrap, javascript, php"
'Expert Graphics and Web Developer',$22,0,1,0,IT & Programming,"CSS, WordPress, Web Developer, PHP/Mysql Programmer"
"Designer, Front-End Developer, Illustrator,Speaker",$11,0,1,0,IT & Programming,"HTML5, jQuery, Jquery Mobile, UI UX, Visual Design"
,$22,0,1,0,IT & Programming,"PHP5, Search Engine Optimization (SEO), WordPress, Microsoft Dynamics NAV, Php, C/AL, RDLC, RDL, NAV Financial, NAV Fixed Asset"
,$5,0,1,0,Writing & Translation,"Article Rewriting, Article Writing, Business Writing, Children's Writing, Content Writing, Copy Editing, Creative Writing, Editing, English Grammar, English Spelling"
Graphic Designer,$5,0,1,0,Design & Multimedia,"Cover Design, DVD Cover Design, Advertising Design, Poster Designing, Web Templete Design, Business Card &amp; Letterhead, Infographics, Speed online &amp; offline typing, Designing Concepts Developing"
expert in Administrative work,,0,1,0,Admin Support,"Administrative Support, Computer Skills, Customer Service, Data Entry, Email, Email Handling, General Office Skills, Microsoft Office, Microsoft Outlook"
"Expert PHP Developer,Wordpress ,Codeigniter,Design",$7,0,1,0,IT & Programming,"Bootstrap, CodeIgniter, ASP.NET, HTML5, Web design, Web development, Wordpress, Ecommerce, Design, Web Application"
"Graphic Designer ,Web developer,animator",$22,0,1,0,Design & Multimedia,"Graphic Design, Web Development, Audio Editing, Video Editing, 3d Animation, Data Entry"
"Graphic, web designer & iOS Developer",$9,0,1,0,IT & Programming,"Adobe Photoshop, Adobe Dreamweaver, Adobe Illustrator, PHP, Web Design, CSS3, HTML5"
,$11,36,1,0,IT & Programming,"Microsoft Excel, WordPress, Search Engine Optimization (SEO), iPhone App Development, Objective-C, Adobe Photoshop"
,$19,0,2,0,Writing & Translation,"English, English Proofreading, Translation English French, English Grammar, Customer Service, Phone Support, Call Center Skills, Translation French English, Marketing, Sales"
,,0,1,0,Writing & Translation,"Social Networking, Marketing, Public Relations, Advertising, Event Management, Leadership, Management, Marketing Strategy, Social Media, Market Research"
,,0,1,0,IT & Programming,"Android, Java, Hadoop, Data Warehouse, ETL, d3.js, database, javascript, visualizations"
Workholic Expert in computer,,0,1,0,Writing & Translation,"Microsoft Excel, Computer Skills, Microsoft Word, Microsoft PowerPoint, Accounting, Resume Writing"
Expert Developer/Analyst for Web and Mobile,$13,0,2,0,IT & Programming,".NET Framework, AJAX, ASP.NET, C#, HTML5, jQuery, JSON, Microsoft Visual Studio, Microsoft SQL Server Programming, VB.NET"
Creative Writer,$11,0,1,0,Design & Multimedia,"Microsoft PowerPoint, Fast typing"
IT Support Tecnician,$11,0,1,0,IT & Programming,"IT Support Technician, Hardware and Networking, IT"
,$22,0,1,0,Design & Multimedia,"Photo Editing, background developer, HTML, Adobe Photoshop, Fiction Writing, Brand Ambassador, Computer Skills, Hospitality, Personal Development"
"Virtual Services, eCommerce, Social Media Manager",$3,60,5,53,Admin Support,"Blogging, Microsoft Word, Microsoft Excel, Email, Computer Skills, WordPress, Administrative Support, Shopify, Amazon Web Services, Internet Research, Magento, Customer support, Google Docs, Facebook Marketing, Real Estate Management"
Experience Database and BI developer,$22,0,2,0,IT & Programming,"Oracle Administration, Microsoft SQL Server Programming, Data Warehousing, Data Modeling, SSSIS, MySQL Administration"
expert english to nepali translator,$11,60,3,1,Writing & Translation,"Writing, Translation English Nepali, Biology"
,,0,1,0,Engineering & Manufacturing,"Digital Mapping, Geographic Information System (GIS), Python, Cartography & Maps, ArcGIS, GPS Development, Geospatial, cartography, land surveying, remote sensing"
,$11,48,1,0,Design & Multimedia,Expert in sports activities
WORDPRESS | PHP | ASP. NET | C# | HTML5 | JAVA,$11,0,1,0,IT & Programming,"Web Design, Adobe Photoshop, C#, ASP.NET, AJAX, C++, PHP5, Desktop Applications, CSS, MySQL Administration"
Expert Web Designer,$8,60,1,0,Design & Multimedia,"Adobe Photoshop, HTML5, WordPress, web designing"
"Expert PHP Developer, Graphic Designer, PSD 2 HTML",$11,0,1,0,IT & Programming,"PHP, Object Oriented PHP, Adobe Photoshop, HTML5, Search Engine Optimization (SEO), WordPress, Android, Java, AJAX, MySQL Administration"
Virtual Assistant,$8,0,1,0,Finance & Management,"Administrative Support, Calendar Management, Event Planning, Microsoft Excel"
,$5,0,1,0,Design & Multimedia,"Adobe Photoshop, HTML5, Microsoft Excel, CSS, HTML, Microsoft Word, Microsoft PowerPoint, Computer Skills"
,$5,0,1,0,Writing & Translation,"I am skillfull in writing articles, I am also skillfull in data entry jobs, I can help company in advertising like uploading videos photos, I can write essays and many creative works"
,$22,0,1,0,Writing & Translation,Content Writing
expert Data entry person,$11,0,1,0,IT & Programming,"Microsoft Excel, HTML5"
,$3,0,2,0,Admin Support,"Microsoft Excel, Microsoft Word, Microsoft PowerPoint, Computer Skills, Email, Adobe Photoshop, Page Layout, Social Network Administration, Typing, Statistics"
,$27,0,1,0,Finance & Management,Business intelligence
,$3,0,1,0,Admin Support,"Blog Development, Copywriting, Microsoft Word, Computer Skills, Microsoft PowerPoint, Email, HTML, content writting, internet research, typing"
,,0,1,0,IT & Programming,"Java, Microcontroller programming, Electronic circuit design, PHP, Android Programming"
,$16,0,1,0,IT & Programming,"Java, Hadoop, Grails, JSON, PHP, Python, SQL Programming"
"java web developer,jsf,Hibernate,Angular js,",$5,0,1,0,IT & Programming,"Spring Framework, Apache Maven, JavaServer Faces (JSF), AngularJS, Hibernate, MySQL Programming, MongoDB, Spring Security, Java web, jsp and servlet"
I am a web designer,$11,0,1,0,Design & Multimedia,"Graphic Design, User Interface Design, Website Prototyping, Website Analytics, Website Wireframing"
Web Developer,$12,0,1,0,IT & Programming,"PHP5, WordPress, MySQL Programming, html, css3, joomla"
,,0,1,0,IT & Programming,"Linux System Administration, Java, C++, C, HTML, CSS, Android, Python, Django, arduino"
,,0,1,0,Writing & Translation,ip.op.iop.pp
Junior from Nepal,$9,36,1,0,IT & Programming,"Graphics, Web Design, Graphic Design, Illustrator, Adobe Creative Suite, Photoshop, InDesign, Photography, Dreamweaver, User Interface Design"
ASP.NET Programmer,$27,0,1,0,IT & Programming,"ASP.NET2, PHP, Javascript, Adobe Dreamweaver, Adobe Photoshop, CSS3, HTML5, ADO.NET, jQuery"
"expert data entry, excel, ms-word and typer",$7,0,1,0,Writing & Translation,"Typing, Microsoft Excel, Microsoft Word, online/offline typing, dataentry"
"Expert in PHP5, HTML5,MYSQL, WORDPRESS,JOOMLA,SEO",$5,0,1,0,IT & Programming,"PHP5, HTML5, WordPress, Javascript, Joomla!, CSS, AJAX, Search Engine Optimization (SEO), Search Engine Marketing (SEM), eCommerce Consulting"
Simply the best,,0,1,0,IT & Programming,"PHP5, HTML5, CSS, HTML, WordPress, PHP, Photoshop, Search Engine Optimization (SEO), Bootstrap"
"MCSA, MCTS, MCSE, RHCE,",$88,0,1,0,IT & Programming,"Oracle Administration, Windows server 2003, Knowledge of Microsoft Office, Linux System Administration, Active Directory, Network Administration"
...Imagination is what architecture is all about..,$16,48,1,0,Engineering & Manufacturing,"...... I am quite apt in using Auto-CAD, Sketch Up with V-ray render, 3-D max"
,,48,1,0,IT & Programming,"C++, Java, C, HTML, C#. Net, VB.NET, Oracle, PHP, ASP.NET, CSS"
Including but not limited to...,,0,1,0,Design & Multimedia,"Graphic Design, Adobe Dreamweaver, Adobe Freehand, Adobe Illustrator, Adobe Illustrator CS6, Adobe InDesign, Adobe InDesign CS6, Adobe PageMaker, Adobe Photoshop CS6, Cartooning"
,$16,0,1,0,IT & Programming,"Android, Java, PHP5"
,$3,0,1,0,IT & Programming,"PHP5, Data Entry, MySQL Programming, vb.net, html, css, java"
PHP Programmer,$22,0,1,0,IT & Programming,"PHP, HTML, CSS, C++, C programming, mysql"
,$3,0,1,0,IT & Programming,"HTML5, CSS, WordPress, HTML, PHP5, Javascript, AJAX, MySQL Administration"
"ACCA Affiliate, highly motivated to help and earn!",$9,48,2,0,Finance & Management,"Financial Reporting, Financial Forecasting, Accounts Receivable Management, Accounting, Bookkeeping, Accounts Payable Management, Business Writing, Report Writing, Business Planning, Business Analysis"
Article writer,$5,0,1,0,Writing & Translation,"Essay Writing, White Paper Writing, Adobe Photoshop, Google+, facebook, gmail, blogger, Yahoo! Messenger, Creative Writing"
WordPress Ninja,$11,0,1,0,IT & Programming,"HTML, WordPress, CSS, CSS3, jQuery, Javascript, AJAX, PHP5, XHTML, PSD to HTML"
,,0,1,0,Design & Multimedia,"Adobe Photoshop, HTML5, CSS, HTML, C, C++, CSS3, Translation English Hindi, Translation Hindi English"
